fase;horario_sinal;horario_expiracao;ativo;estrategia;lado;entrada;saida;resultado;odd;stake_virtual;pnl_virtual
TREINO_REPLAY;19/08/2026 02:05:00;19/08/2026 02:10:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.1567;0.1563;WIN;1.8;5.0;4.0
TREINO_REPLAY;19/08/2026 02:05:00;19/08/2026 02:10:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1567;0.1563;WIN;1.8;5.0;4.0
TREINO_REPLAY;19/08/2026 10:30:00;19/08/2026 10:35:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1585;0.1589;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;19/08/2026 10:30:00;19/08/2026 10:35:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1585;0.1589;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;19/08/2026 10:35:00;19/08/2026 10:40:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1589;0.1583;WIN;1.8;5.0;4.0
TREINO_REPLAY;19/08/2026 10:35:00;19/08/2026 10:40:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.1589;0.1583;WIN;1.8;5.0;4.0
TREINO_REPLAY;19/08/2026 10:35:00;19/08/2026 10:40:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1589;0.1583;WIN;1.8;5.0;4.0
TREINO_REPLAY;19/08/2026 11:55:00;19/08/2026 12:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1599;0.1613;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;19/08/2026 11:55:00;19/08/2026 12:00:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1599;0.1613;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;19/08/2026 12:00:00;19/08/2026 12:05:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1613;0.1628;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;19/08/2026 12:00:00;19/08/2026 12:05:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.1613;0.1628;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;19/08/2026 12:00:00;19/08/2026 12:05:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1613;0.1628;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;19/08/2026 12:00:00;19/08/2026 12:05:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;PUT;0.1613;0.1628;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;19/08/2026 12:00:00;19/08/2026 12:05:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;65941.23;66064.34;LOSS;1.82;5.0;-5.0
